Timer mpi-recv         on rank  18 :    267 ms,     26 ms,      3 ms,    208 ms,  10 (total, mean, min, max, timings)
Timer mpi-send         on rank  19 :      8 ms,      0 ms,      0 ms,      1 ms,  10 (total, mean, min, max, timings)
Timer mpi-recv         on rank  19 :    219 ms,     21 ms,      0 ms,    210 ms,  10 (total, mean, min, max, timings)
Timer mpi-send         on rank  20 :      8 ms,      0 ms,      0 ms,      1 ms,  10 (total, mean, min, max, timings)
Timer mpi-recv         on rank  20 :    550 ms,     55 ms,      0 ms,    543 ms,  10 (total, mean, min, max, timings)
Timer mpi-send         on rank  21 :      6 ms,      0 ms,      0 ms,      1 ms,  10 (total, mean, min, max, timings)
Timer mpi-recv         on rank  21 :    736 ms,     73 ms,      0 ms,    635 ms,  10 (total, mean, min, max, timings)
Timer mpi-send         on rank  22 :      7 ms,      0 ms,      0 ms,      1 ms,  10 (total, mean, min, max, timings)
Timer mpi-recv         on rank  22 :    925 ms,     92 ms,      0 ms,    833 ms,  10 (total, mean, min, max, timings)
Timer mpi-send         on rank  23 :      8 ms,      0 ms,      0 ms,      1 ms,  10 (total, mean, min, max, timings)
Timer mpi-recv         on rank  23 :    479 ms,     47 ms,      0 ms,    471 ms,  10 (total, mean, min, max, timings)
Timer mpi-send         on rank  24 :      7 ms,      0 ms,      0 ms,      1 ms,  10 (total, mean, min, max, timings)
Timer mpi-recv         on rank  24 :    684 ms,     68 ms,      0 ms,    256 ms,  10 (total, mean, min, max, timings)
Timer mpi-send         on rank  25 :      6 ms,      0 ms,      0 ms,      1 ms,  10 (total, mean, min, max, timings)
Timer mpi-recv         on rank  25 :   1425 ms,    142 ms,      0 ms,    495 ms,  10 (total, mean, min, max, timings)
Timer mpi-send         on rank  26 :      6 ms,      0 ms,      0 ms,      1 ms,  10 (total, mean, min, max, timings)
Timer mpi-recv         on rank  26 :   1015 ms,    101 ms,      0 ms,    536 ms,  10 (total, mean, min, max, timings)
Timer mpi-send         on rank  27 :      6 ms,      0 ms,      0 ms,      1 ms,  10 (total, mean, min, max, timings)
Timer mpi-recv         on rank  27 :    680 ms,     68 ms,      0 ms,    501 ms,  10 (total, mean, min, max, timings)
Timer mpi-send         on rank  28 :      6 ms,      0 ms,      0 ms,      1 ms,  10 (total, mean, min, max, timings)
Timer mpi-recv         on rank  28 :    349 ms,     34 ms,      1 ms,    194 ms,  10 (total, mean, min, max, timings)
Timer mpi-send         on rank  29 :      6 ms,      0 ms,      0 ms,      1 ms,  10 (total, mean, min, max, timings)
Timer mpi-recv         on rank  29 :    191 ms,     19 ms,      0 ms,    186 ms,  10 (total, mean, min, max, timings)
Timer mpi-send         on rank  30 :      6 ms,      0 ms,      0 ms,      1 ms,  10 (total, mean, min, max, timings)
Timer mpi-recv         on rank  30 :    860 ms,     86 ms,      0 ms,    527 ms,  10 (total, mean, min, max, timings)
Timer mpi-send         on rank  31 :      6 ms,      0 ms,      0 ms,      1 ms,  10 (total, mean, min, max, timings)
Timer mpi-recv         on rank  31 :    303 ms,     30 ms,      0 ms,    199 ms,  10 (total, mean, min, max, timings)
Timer mpi-send         on rank  32 :      6 ms,      0 ms,      0 ms,      1 ms,  10 (total, mean, min, max, timings)
Timer mpi-recv         on rank  32 :    296 ms,     29 ms,      0 ms,    201 ms,  10 (total, mean, min, max, timings)
Timer mpi-send         on rank  33 :      8 ms,      0 ms,      0 ms,      1 ms,  10 (total, mean, min, max, timings)
Timer mpi-recv         on rank  33 :    581 ms,     58 ms,      0 ms,    527 ms,  10 (total, mean, min, max, timings)
Timer mpi-send         on rank  34 :      7 ms,      0 ms,      0 ms,      1 ms,  10 (total, mean, min, max, timings)
