Timer optical-flow     on rank  38 :  94118 ms,   1960 ms,    856 ms,   2913 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  39 :  97791 ms,   2037 ms,   1228 ms,   3125 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  40 : 101023 ms,   2104 ms,   1279 ms,   3143 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  41 :  97637 ms,   2034 ms,   1241 ms,   2760 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  42 : 100707 ms,   2098 ms,   1201 ms,   3132 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  43 : 100638 ms,   2096 ms,    913 ms,   2979 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  44 :  98082 ms,   2043 ms,   1156 ms,   3099 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  45 :  98533 ms,   2052 ms,   1163 ms,   3049 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  46 :  98465 ms,   2051 ms,   1245 ms,   3058 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  47 :  96636 ms,   2013 ms,   1060 ms,   3149 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  48 :  96980 ms,   2020 ms,    665 ms,   3052 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  49 :  96893 ms,   2018 ms,    824 ms,   3115 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  50 :  95265 ms,   1984 ms,    657 ms,   3048 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  51 :  93540 ms,   1948 ms,    809 ms,   3036 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  52 :  94639 ms,   1971 ms,    655 ms,   2863 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  53 :  97329 ms,   2027 ms,    633 ms,   3164 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  54 :  90159 ms,   1878 ms,    636 ms,   2743 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  55 :  88803 ms,   1850 ms,    684 ms,   2708 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  56 :  93567 ms,   1949 ms,    847 ms,   2739 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  57 :  92704 ms,   1931 ms,   1049 ms,   2717 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  58 :  92628 ms,   1929 ms,   1107 ms,   2653 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  59 :  93798 ms,   1954 ms,   1118 ms,   2664 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  60 :  92450 ms,   1926 ms,   1116 ms,   2630 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  61 :  93376 ms,   1945 ms,   1310 ms,   2704 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  62 :  96401 ms,   2008 ms,   1101 ms,   2735 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  63 :  93316 ms,   1944 ms,   1264 ms,   2672 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  64 :  96807 ms,   2016 ms,   1229 ms,   2603 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  65 :  97710 ms,   2035 ms,   1390 ms,   2659 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  66 :  93850 ms,   1955 ms,   1249 ms,   2685 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  67 :  91766 ms,   1911 ms,   1191 ms,   2501 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  68 :  91763 ms,   1911 ms,   1302 ms,   2619 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  69 :  94462 ms,   1967 ms,   1146 ms,   2748 ms,  48 (total, mean, min, max, timings)
Timer optical-flow     on rank  70 :  94545 ms,   1969 ms,    748 ms,   2709 ms,  48 (total, mean, min, max, timings)
